,Fecha,Muertes
0,2021-08-22,153.26470947265625
1,2021-08-23,140.04342651367188
2,2021-08-24,147.81387329101562
3,2021-08-25,151.03770446777344
4,2021-08-26,140.23635864257812
5,2021-08-27,146.9404296875
6,2021-08-28,132.92141723632812
7,2021-08-29,137.79998779296875
8,2021-08-30,135.80355834960938
9,2021-08-31,135.76280212402344
10,2021-09-01,135.0808563232422
11,2021-09-02,119.3811264038086
12,2021-09-03,124.12165832519531
13,2021-09-04,124.93225860595703
14,2021-09-05,121.83309173583984
15,2021-09-06,123.86685943603516
16,2021-09-07,118.33714294433594
17,2021-09-08,116.84815979003906
18,2021-09-09,115.73872375488281
19,2021-09-10,111.44229888916016
20,2021-09-11,111.15515899658203
21,2021-09-12,103.32095336914062
22,2021-09-13,111.8014144897461
23,2021-09-14,103.69359588623047
24,2021-09-15,98.04723358154297
25,2021-09-16,98.3458023071289
26,2021-09-17,95.15625762939453
27,2021-09-18,96.57511901855469
28,2021-09-19,93.2403564453125
29,2021-09-20,90.01785278320312
30,2021-09-21,93.03111267089844
31,2021-09-22,86.23347473144531
32,2021-09-23,85.8984375
33,2021-09-24,82.42565155029297
34,2021-09-25,80.72126770019531
35,2021-09-26,82.99198150634766
36,2021-09-27,77.36592102050781
37,2021-09-28,75.5927505493164
38,2021-09-29,72.9723129272461
39,2021-09-30,70.79560089111328
40,2021-10-01,71.67597198486328
41,2021-10-02,69.01211547851562
42,2021-10-03,68.37987518310547
43,2021-10-04,65.69971466064453
44,2021-10-05,63.054100036621094
45,2021-10-06,63.16002655029297
46,2021-10-07,58.86563491821289
47,2021-10-08,59.17332077026367
48,2021-10-09,57.624267578125
49,2021-10-10,55.78842544555664
50,2021-10-11,54.68699645996094
51,2021-10-12,50.59672164916992
52,2021-10-13,50.60466384887695
53,2021-10-14,49.89774703979492
54,2021-10-15,47.8865966796875
55,2021-10-16,47.57451629638672
56,2021-10-17,44.88816833496094
57,2021-10-18,44.59700012207031
58,2021-10-19,42.60239028930664
59,2021-10-20,40.283573150634766
60,2021-10-21,40.27100372314453
61,2021-10-22,38.63971710205078
62,2021-10-23,38.14852523803711
63,2021-10-24,36.39675521850586
64,2021-10-25,34.56853485107422
65,2021-10-26,34.12164306640625
66,2021-10-27,32.6039924621582
67,2021-10-28,32.39667892456055
68,2021-10-29,31.38702392578125
69,2021-10-30,29.916034698486328
70,2021-10-31,29.298213958740234
71,2021-11-01,27.566797256469727
72,2021-11-02,27.045940399169922
73,2021-11-03,26.047592163085938
74,2021-11-04,25.096771240234375
75,2021-11-05,24.92357063293457
76,2021-11-06,23.500015258789062
77,2021-11-07,22.709304809570312
78,2021-11-08,21.755428314208984
79,2021-11-09,21.019739151000977
80,2021-11-10,20.956050872802734
81,2021-11-11,19.82145118713379
82,2021-11-12,19.31393814086914
83,2021-11-13,18.599424362182617
84,2021-11-14,17.675817489624023
85,2021-11-15,17.21340560913086
86,2021-11-16,16.278661727905273
87,2021-11-17,16.101808547973633
88,2021-11-18,15.645755767822266
89,2021-11-19,14.90595817565918
90,2021-11-20,14.477862358093262
91,2021-11-21,13.673095703125
92,2021-11-22,13.413534164428711
93,2021-11-23,13.012533187866211
94,2021-11-24,12.534051895141602
95,2021-11-25,12.306800842285156
96,2021-11-26,11.593317031860352
97,2021-11-27,11.226926803588867
98,2021-11-28,10.78929328918457
99,2021-11-29,10.372029304504395
